N,EQ,titulo,lectura,categoria
1,70,Origen / Identidad Digital,Nacimiento de comunidades virtuales,Autoconstrucción narrativa
2,69,Dualidad / Polos Conectados,Polarización algorítmica,Ecos cerrados
3,68,Tríada / Sinergia 3.0,Colaboración talento-creatividad-tech,Trabajo remoto
4,67,Estructura Control Algorítmico,Ciudades inteligentes vigilancia datos,Control y vigilancia
5,66,Cambio Disrupción Viral,Hashtags movimientos sociales,Transformación social
6,65,Armonía Comunidad Conectada,Apoyo emocional en apps,Comunidad y apoyo
7,64,Ritmo Cadencia Ágil,Rituales sprints trabajo,Ritmo y disciplina
8,63,Escala Asimetría Global,Concentración poder datos,Poder y escala
9,62,Cierre Retroaprendizaje,Revisión post evento,Aprendizaje y reflexión
10,61,Reglas Código Abierto Global,Estandarización interoperabilidad,Estándares globales
11,60,Umbral Revolución Tech,Interfaces neuronales transición,Revolución tecnológica
12,59,Ciclo Anual Memoria Colectiva,Lecciones por temporada,Ciclos y memoria
13,58,Disrupción Desinformación Hiperreal,Deepfakes conspiraciones,Desinformación
14,57,Límite Crisis Climática,Fenómenos extremos acción inmediata,Crisis climática
15,56,Atención Economía del Foco,Microcontenidos déficit atención,Atención y enfoque
16,55,Tipologías Diversidad Crítica,Microcomunidades creativas,Diversidad cultural
17,54,Resistencia Activismo en Red,Coaliciones globales derechos,Activismo digital
18,53,Manipulación Narrativa Dirigida,Publicidad conductual segmentación,Manipulación
19,52,Iluminación Despertar Colectivo,Educación crítica masiva,Educación crítica
20,51,Juicio Rendición Algorítmica,Evaluaciones públicas trazables,Evaluación pública
21,50,Exilio Movilidad Digital,Identidad documentación en nube,Movilidad digital
22,49,Constructor Pactos Creativos,Alianzas tecnología contratos,Alianzas creativas
23,48,Ansiedad Hipervelocidad,Estrés aceleración cultural,Ansiedad cultural
24,47,Familia Red Siempre Encendida,Convivencia conectividad permanente,Conectividad familiar
25,46,Celebración Ocio Consciente,Eventos híbridos inmersivos,Ocio consciente
26,45,Silencio Invisibilidad Social,Marginalidad brecha acceso,Invisibilidad social
27,44,Alteridad Emprendimiento Local,Startups impacto diversidad,Emprendimiento local
28,43,Abundancia Desperdicio Digital,Big data no usado,Abundancia digital
