# Bibliografía Subliminal - Referencias y fuentes
# Formato: título|autor|año|descripción

Subliminal: How Your Unconscious Mind Rules Your Behavior|Leonard Mlodinow|2012|Cómo la mente inconsciente gobierna el comportamiento
The Power of the Subconscious Mind|Joseph Murphy|1963|Poder de la mente subconsciente
Subliminal Perception: The Nature of a Controversy|Norman Dixon|1971|Naturaleza de la controversia sobre percepción subliminal
The Hidden Persuaders|Vance Packard|1957|Persuasores ocultos en publicidad
Subliminal Seduction|Wilson Bryan Key|1973|Seducción subliminal en medios
The Psychology of the Unconscious|Carl Jung|1912|Psicología del inconsciente
Influence: The Psychology of Persuasion|Robert Cialdini|1984|Psicología de la persuasión
Thinking, Fast and Slow|Daniel Kahneman|2011|Pensamiento rápido y lento
Blink: The Power of Thinking Without Thinking|Malcolm Gladwell|2005|Poder de pensar sin pensar
The Subconscious Mind and Its Illuminating Light|Charles Haanel|1919|Mente subconsciente y su luz iluminadora
